Metric,Mean,Std
Accuracy,0.9643513050440881,0.007209759891588586
Precision,0.04199456021417626,0.007790300243237124
Recall,0.8698367346938776,0.03387424511914024
F1-Score,0.08000563838320107,0.01415876019775773
AUC-ROC,0.9546816147456678,0.017145623430956262
