Epoch,Accuracy,Precision,Recall,F1_Score,AUC_ROC
1,0.9510199782311014,0.030027932960893854,0.8775510204081632,0.05806887238352464,0.9476132813845853
2,0.963203539201573,0.040478380864765406,0.8979591836734694,0.07746478873239436,0.9709733499477449
3,0.9659773182121414,0.042743538767395624,0.8775510204081632,0.08151658767772511,0.9568551675031296
4,0.9542853130156946,0.03350707371556218,0.9183673469387755,0.06465517241379311,0.9573766408645619
5,0.9742986552438467,0.054758800521512385,0.8571428571428571,0.10294117647058823,0.9513748521355644
6,0.9714897651065623,0.0528169014084507,0.9,0.09977827050997783,0.985531286272027
7,0.9680488746883887,0.046413502109704644,0.88,0.08817635270541083,0.9613263691041468
8,0.9654143258426966,0.03937007874015748,0.8163265306122449,0.07511737089201878,0.9554772420733619
9,0.9680126404494382,0.04246284501061571,0.8163265306122449,0.08072653884964683,0.9228375321849751
10,0.9617626404494382,0.037366548042704624,0.8571428571428571,0.07161125319693094,0.937450425986581
