FPR,TPR,Threshold
0.0,0.0,inf
4.924115857411674e-05,0.06504065040650407,0.9996411414018638
8.793064031092274e-05,0.12804878048780488,0.9996243143737321
0.00012310289643529184,0.19308943089430894,0.9996129762702466
0.0001477234757223502,0.25203252032520324,0.9996041444356476
0.00017234405500940857,0.3170731707317073,0.9996025002160325
0.0001864129574591562,0.3861788617886179,0.9996022112375326
0.0002075163111337777,0.4451219512195122,0.9995948390483853
0.00022861966480839914,0.5121951219512195,0.9995939816479705
0.0002532402440954575,0.5833333333333334,0.999558311587928
0.0002813780489949528,0.6483739837398373,0.9995344051594806
0.0004572393296167983,0.6544715447154471,0.9902087090955939
0.0006366178358510806,0.6686991869918699,0.989622727135207
0.0007315829273868772,0.676829268292683,0.9895229982964225
0.0007351001529993141,0.676829268292683,0.9893617021276596
0.0008546858238221691,0.6849593495934959,0.9892939382158558
0.0009813059458698978,0.6991869918699187,0.9892117678877302
0.0011184777447549373,0.7134146341463414,0.9891119428376999
0.001209925610678297,0.7296747967479674,0.9886363636363636
0.0013541318607882102,0.7520325203252033,0.9885604406348792
0.001364683537625521,0.7520325203252033,0.9878787878787879
0.0015475792694722402,0.7682926829268293,0.9872483022448919
0.0017269577757065228,0.7845528455284553,0.987033835514942
0.0018043367391801348,0.7865853658536586,0.9813496583143508
0.0018184056416298824,0.7865853658536586,0.9806234203875316
0.0018465434465293777,0.7926829268292683,0.9748305905130688
0.0018535778977542515,0.7926829268292683,0.9722222222222222
0.0019977841478641648,0.7926829268292683,0.9720756376429199
0.002099783690624835,0.7967479674796748,0.9714686027257674
0.0022017832333855055,0.7987804878048781,0.9686083408884859
0.0022897138736964282,0.8008130081300813,0.9679699076712641
0.0023565411603327295,0.8048780487804879,0.9677948412106754
0.0023600583859451664,0.8048780487804879,0.9672131147540983
0.002447989026256089,0.8130081300813008,0.9663449939686369
0.0025112990872799535,0.8130081300813008,0.9628294036061026
0.0025183335385048273,0.8130081300813008,0.9596273291925466
0.0026695742398396144,0.8150406504065041,0.9538461538461539
0.002803228813112217,0.8170731707317073,0.9533013544018059
0.002834883843624149,0.8170731707317073,0.9525222551928784
0.0029298489351599457,0.8170731707317073,0.9497161394971614
0.0029404006119972564,0.8170731707317073,0.9470198675496688
0.00299315899618381,0.8170731707317073,0.9457130547177941
0.0030529518315952375,0.8170731707317073,0.9436447166921899
0.0030599862828201113,0.8170731707317073,0.9385245901639344
0.003070537959657422,0.8170731707317073,0.9373881932021467
0.0030846068621071697,0.8170731707317073,0.9371980676328503
0.0030916413133320435,0.8170731707317073,0.9360730593607306
0.003112744667006665,0.8170731707317073,0.9339622641509434
0.0031303307950688495,0.8170731707317073,0.9335604770017035
0.00314088247190616,0.8170731707317073,0.9333333333333333
0.0033835710391643074,0.8170731707317073,0.9314579147131056
0.003394122716001618,0.8170731707317073,0.9308510638297872
0.0034644672282503563,0.8170731707317073,0.9307858687815429
0.003559432319786153,0.8191056910569106,0.9288997026223303
0.0035629495453985897,0.8191056910569106,0.9279661016949152
0.003823224240718921,0.8211382113821138,0.924273354719549
0.003868948173680601,0.8211382113821138,0.9235181644359465
0.003992051070115892,0.823170731707317,0.9231090681153364
0.00400611997256564,0.823170731707317,0.9203125
0.004129222869000932,0.8252032520325203,0.9180678691531642
0.00419956738124967,0.8252032520325203,0.9164133738601824
0.004480945430244623,0.8252032520325203,0.913730622105899
0.004681427290153527,0.8252032520325203,0.9124134599903397
0.0047693579304644495,0.8272357723577236,0.9115442278860569
0.005012046497722597,0.8272357723577236,0.9111850209411185
0.005029632625784781,0.8272357723577236,0.9096153846153846
0.005138666619770325,0.8272357723577236,0.9060141222303384
0.005163287199057383,0.8272357723577236,0.9058823529411765
0.005268803967430491,0.8292682926829268,0.9042489527229204
0.005282872869880238,0.8292682926829268,0.9008695652173913
0.005592388723774686,0.8313008130081301,0.9003685786685096
0.0056381126567363665,0.8313008130081301,0.8985765124555161
0.005817491162970648,0.8313008130081301,0.8982558139534884
0.006109420888802912,0.8313008130081301,0.8979545454545454
0.00627121326697501,0.8313008130081301,0.8976377952755905
0.006425971193922234,0.8313008130081301,0.897062453715132
0.0068339693649649156,0.8313008130081301,0.8948813708260105
0.0069289344565007125,0.8333333333333334,0.8936795688388045
0.007118864639572306,0.8333333333333334,0.8903137165101901
0.007132933542022053,0.8333333333333334,0.8859649122807017
0.007150519670084237,0.8333333333333334,0.8845500848896435
0.007562035066739356,0.8353658536585366,0.8820332842748783
0.007576103969189104,0.8353658536585366,0.8804347826086957
0.008138860067179008,0.8353658536585366,0.8790361915910643
0.008177549548915815,0.8353658536585366,0.8789546079779917
0.00820568735381531,0.8353658536585366,0.8780487804878049
0.00828658354290136,0.8353658536585366,0.8743793445878848
0.008328790250250602,0.8353658536585366,0.8701837581505631
0.008504651530872449,0.8394308943089431,0.8686841394217779
0.00862775442730774,0.8394308943089431,0.8686354378818737
0.009158855494785713,0.8394308943089431,0.8674466029837931
0.009257337811933946,0.8414634146341463,0.8669046404895462
0.00959499147072789,0.8414634146341463,0.8642372881355932
0.009675887659813939,0.8414634146341463,0.8620082207868467
0.009841197263598474,0.8414634146341463,0.8506417736289381
0.009883403970947717,0.8414634146341463,0.8490127758420442
0.009957265708808892,0.8414634146341463,0.8472850678733032
0.010147195891880484,0.8414634146341463,0.8467589679043424
0.010196437050454601,0.8414634146341463,0.8465227817745803
